,full_name,selling_price,new-price,year,seller_type,km_driven,owner_type,fuel_type,transmission_type,mileage,Brand
1737,Hyundai Verna 1.6,559000,1645000,2014,Dealer,41000,First Owner,Petrol,Manual,17.01,Hyundai
1738,Mahindra XUV500 W6,655000,2307000,2015,Individual,100000,First Owner,Diesel,Manual,15.1,Mahindra
1739,Honda Amaze VX,800000,1025000,2019,Dealer,2277,First Owner,Petrol,Automatic,15.5,Honda
1740,Maruti Swift VXI,475000,931000,2016,Dealer,8000,First Owner,Petrol,Manual,22.0,Maruti
1741,Mercedes-Benz C-Class C,900000,164000,2011,Dealer,110500,First Owner,Petrol,Automatic,11.74,Mercedes-Benz
1742,Ford Figo 1.2P,450000,850000,2016,Dealer,41001,First Owner,Petrol,Manual,18.16,Ford
1743,Ford Figo Diesel,254999,989000,2011,Dealer,66000,First Owner,Diesel,Manual,20.0,Ford
1744,Maruti Swift Dzire,575000,1031000,2015,Dealer,67000,First Owner,Petrol,Manual,20.85,Maruti
1745,Maruti Ertiga BSIV,800000,1229000,2017,Dealer,84900,First Owner,Petrol,Manual,17.5,Maruti
1746,Hyundai Grand i10,525000,742000,2015,Individual,23000,First Owner,Petrol,Manual,18.9,Hyundai
1747,Maruti Baleno Zeta,850000,1068000,2017,Individual,26000,First Owner,Petrol,Automatic,21.4,Maruti
1748,Maruti Wagon R,250000,719000,2010,Dealer,28000,First Owner,Petrol,Manual,14.0,Maruti
1749,Tata Nexon 1.5,751000,1525000,2018,Dealer,27000,First Owner,Diesel,Manual,21.5,Tata
1750,Honda City 1.5,349000,1710000,2010,Dealer,77250,First Owner,Petrol,Automatic,16.8,Honda
1751,Maruti Wagon R,365000,629000,2015,Dealer,48000,First Owner,CNG,Manual,32.52,Maruti
1752,Volkswagen Polo 2015-2019,690000,1144000,2016,Dealer,60000,First Owner,Petrol,Automatic,17.21,Volkswagen
1753,Ford Ecosport 2015-2021,670000,1314000,2016,Dealer,40003,First Owner,Petrol,Automatic,14.7,Ford
1754,Maruti Alto 800,325000,469000,2018,Dealer,40737,First Owner,Petrol,Manual,22.74,Maruti
1755,Honda City i,850000,1768000,2016,Individual,50000,First Owner,Diesel,Manual,26.0,Honda
1756,Hyundai i20 1.2,650000,1323000,2016,Dealer,59000,First Owner,Petrol,Manual,18.6,Hyundai
1757,Ford Ecosport 1.5,621000,1314000,2014,Dealer,50250,First Owner,Petrol,Automatic,16.5,Ford
1758,Maruti Ciaz 1.4,775000,1351000,2018,Dealer,23150,First Owner,Petrol,Manual,20.73,Maruti
1759,Maruti Swift VXI,511000,943000,2015,Dealer,19000,First Owner,Petrol,Manual,18.6,Maruti
1760,Hyundai i20 1.2,630000,1324000,2015,Dealer,45235,First Owner,Petrol,Manual,18.6,Hyundai
1761,Hyundai Verna 1.6,650000,1811000,2016,Dealer,75000,First Owner,Diesel,Automatic,19.08,Hyundai
1762,Maruti Swift VXI,600000,890000,2019,Individual,10000,First Owner,Petrol,Manual,21.21,Maruti
1763,Honda City i,651000,1763000,2015,Dealer,78000,First Owner,Diesel,Manual,26.0,Honda
1764,Honda City i,875000,1698999,2016,Dealer,32302,First Owner,Petrol,Automatic,18.0,Honda
1765,Maruti Swift VXi,300000,931000,2011,Dealer,54688,First Owner,Petrol,Manual,16.1,Maruti
1766,Maruti Swift VXI,204999,943000,2006,Dealer,82000,First Owner,Petrol,Manual,16.1,Maruti
1767,Toyota Yaris V,900000,1739999,2018,Dealer,12617,First Owner,Petrol,Manual,17.1,Toyota
